part,job,operation,machine,event,time,queue_length,queue_ops,delay
P1,J1,O11,M1,queued,0.0,1.0,O11,
P1,J1,O11,M1,start,0.0,0.0,,
P2,J2,O21,M1,queued,2.0,1.0,O21,
P1,J1,O11,M1,end,3.6079967821569565,,,
P1,J1,O12,M1->M2,transfer,3.6079967821569565,,,1.6687011243545977
P2,J2,O21,M1,start,3.6079967821569565,0.0,,
P3,J3,O31,M3,queued,4.0,1.0,O31,
P3,J3,O31,M3,start,4.0,0.0,,
P1,J1,O12,M2,queued,5.276697906511554,1.0,O12,
P1,J1,O12,M2,start,5.276697906511554,0.0,,
P2,J2,O21,M1,end,6.7022577255666915,,,
P2,J2,O22,M1->M2,transfer,6.7022577255666915,,,1.7191080394563
P2,J2,O22,M2,queued,8.421365765022992,1.0,O22,
P3,J3,O31,M3,end,9.457171722217414,,,
P3,J3,O32,M3->M1,transfer,9.457171722217414,,,1.6905195512566937
P1,J1,O12,M2,end,10.916281037880267,,,
P1,J1,O13,M2->M1,transfer,10.916281037880267,,,0.719117402088626
P2,J2,O22,M2,start,10.916281037880267,0.0,,
P3,J3,O32,M1,queued,11.147691273474107,1.0,O32,
P3,J3,O32,M1,start,11.147691273474107,0.0,,
P1,J1,O13,M1,queued,11.635398439968894,1.0,O13,
P3,J3,O32,M1,end,14.547476690879357,,,
P3,J3,,,done,14.547476690879357,,,
P1,J1,O13,M1,start,14.547476690879357,0.0,,
P2,J2,O22,M2,end,14.584310330613743,,,
P2,J2,,,done,14.584310330613743,,,
P1,J1,O13,M1,end,17.05990858031197,,,
P1,J1,,,done,17.05990858031197,,,
